,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
5846,Corprus,Witch Eater,Track 1,['Distortion Guitar'],Intermediate,3/8,0.86,0.85,0.86,0.52,Intermediate,3/8,0.05,0.66,Beginner,8/8,Advanced,1/8,Beginner,4/8
5847,Anal Destroyer,SLAM,Distortion Guitar,[],Intermediate,5/8,0.73,0.03,0.61,0.36,Intermediate,5/8,0.05,0.49,Intermediate,4/8,Advanced,1/8,Advanced,6/8
5848,Muth,Aeons Black (Drop A#),Daniel Dlimi,['Distortion Guitar'],Intermediate,5/8,0.15,0.6,0.57,0.39,Intermediate,5/8,0.59,0.73,Advanced,5/8,Beginner,7/8,Advanced,6/8
5849,Hypocrisy,Children Of The Gray,Distortion Guitar,[],Intermediate,3/8,0.71,0.46,0.75,0.68,Intermediate,3/8,0.41,0.69,Beginner,5/8,Beginner,3/8,Advanced,2/8
5850,Hua,sass,Rhythm Guitar ,['Distortion Guitar'],Intermediate,4/8,0.34,0.78,0.12,0.13,Intermediate,4/8,0.57,0.87,Advanced,4/8,Beginner,3/8,Intermediate,8/8
5851,Bad Omens,Glass Houses,Distortion Guitar,[],Intermediate,3/8,0.77,0.02,0.3,0.22,Intermediate,3/8,0.84,0.48,Beginner,6/8,Beginner,8/8,Advanced,2/8
5852,Ben Mason,No Right,Guitar R,['Distortion Guitar'],Intermediate,3/8,0.75,0.34,0.43,0.13,Intermediate,3/8,0.34,0.6,Beginner,2/8,Beginner,4/8,Advanced,1/8
5853,Gh,asas,Clean Guitar,['Electric Guitar (clean)'],Intermediate,4/8,0.69,0.86,0.31,0.82,Intermediate,4/8,0.43,0.25,Beginner,6/8,Beginner,7/8,Advanced,8/8
5854,Gh,fgh,Federico Zuccarelli,['Distortion Guitar'],Intermediate,4/8,0.86,0.16,0.34,0.81,Intermediate,4/8,0.71,0.81,Beginner,1/8,Intermediate,4/8,Beginner,8/8
5855,Toadstool,Riff 1,Distortion Guitar,[],Intermediate,4/8,0.03,0.22,0.8,0.4,Intermediate,4/8,0.75,0.1,Advanced,3/8,Intermediate,3/8,Advanced,5/8
5856,Soi,DIEKATAKOMBEN,Guitar 2,['Overdriven Guitar'],Advanced,7/8,0.01,0.75,0.99,0.18,Advanced,7/8,0.74,1.0,Advanced,6/8,Intermediate,7/8,Beginner,3/8
5857,Soi,DERHORRORMITTENDRIN,Guitar 3,['Distortion Guitar'],Intermediate,3/8,0.99,0.51,0.53,0.94,Intermediate,3/8,0.37,0.32,Advanced,5/8,Intermediate,3/8,Beginner,1/8
5858,Soi,DIERÜCKKEHR,Guitar 1,['Distortion Guitar'],Advanced,8/8,0.73,0.98,0.6,0.04,Advanced,8/8,0.73,0.5,Beginner,7/8,Intermediate,7/8,Beginner,2/8
5859,Soi,WIRSTEIGENAB,Guitar 2,['Overdriven Guitar'],Intermediate,3/8,0.77,0.05,0.4,0.21,Intermediate,3/8,0.13,0.98,Beginner,8/8,Advanced,7/8,Beginner,5/8
5860,Destruction Of The Healer,Obsessed,Right Clean,['Electric Guitar (clean)'],Intermediate,4/8,0.75,0.16,0.15,0.29,Intermediate,4/8,0.55,0.58,Advanced,4/8,Beginner,2/8,Intermediate,8/8
5861,34yh34,h34h34h3,Track 1,['Distortion Guitar 2'],Intermediate,3/8,0.84,0.62,0.28,0.5,Intermediate,3/8,0.16,0.58,Beginner,1/8,Advanced,6/8,Advanced,3/8
5862,Attack On Titan,The Rubmling - Attack on Titan Final Season Part 2,Lead,['Electric Guitar (clean)'],Intermediate,3/8,0.39,0.35,0.22,0.92,Intermediate,3/8,0.35,0.74,Advanced,3/8,Advanced,8/8,Advanced,5/8
5863,J7y5yh5,645hb675hn,Track 1,['Distortion Guitar'],Intermediate,3/8,0.63,0.95,0.81,0.32,Intermediate,3/8,0.68,0.41,Beginner,7/8,Advanced,8/8,Advanced,2/8
5864,Grg4g4g34,34gg343g443g,Track 1,['Acoustic Guitar (nylon)'],Intermediate,4/8,0.14,0.75,0.47,0.27,Intermediate,4/8,0.96,0.36,Intermediate,8/8,Beginner,3/8,Beginner,6/8
5865,G323g24g23,g3g32g3g3g,Track 1,['Distortion Guitar 1'],Intermediate,4/8,0.29,0.89,0.02,0.06,Intermediate,4/8,0.88,0.23,Beginner,6/8,Intermediate,1/8,Beginner,3/8
5866,Bt4g53g,g43g344g3,Track 1,['Distortion Guitar 2'],Intermediate,4/8,0.86,0.66,0.74,0.53,Intermediate,4/8,0.47,0.14,Intermediate,4/8,Beginner,6/8,Intermediate,5/8
5867,4f34f34f3f434f,34f34f34f3f4f3f43f43f4,Track 2,['Distortion Guitar'],Intermediate,3/8,0.17,0.42,0.91,0.35,Intermediate,3/8,0.41,0.31,Beginner,6/8,Advanced,7/8,Advanced,6/8
5868,32t4tg4g34g3,g3434g34g34g34g34g,Track 2,['Distortion Guitar'],Intermediate,3/8,0.86,0.69,0.23,0.64,Intermediate,3/8,0.61,0.21,Beginner,4/8,Beginner,3/8,Intermediate,8/8
5869,6g346g346g,346g34g6346g34,Track 1,['Distortion Guitar'],Intermediate,4/8,0.09,0.99,0.68,0.46,Intermediate,4/8,0.66,0.38,Advanced,6/8,Intermediate,3/8,Beginner,6/8
5870,Bb1b5121b251,25b125b255b125b,Track 2,['Distortion Guitar'],Intermediate,3/8,0.91,0.41,0.11,0.72,Intermediate,3/8,0.59,0.99,Beginner,2/8,Beginner,7/8,Beginner,6/8
5871,G345g465h546h,1241241241241241242g23g23g1,Track 2,['Distortion Guitar'],Intermediate,3/8,0.56,0.63,0.06,0.89,Intermediate,3/8,0.85,0.47,Beginner,2/8,Intermediate,6/8,Intermediate,6/8
5872,5 B1212,5b125b12b512,Track 1,['Distortion Guitar'],Intermediate,4/8,0.97,0.6,0.98,0.74,Intermediate,4/8,0.53,0.73,Beginner,7/8,Advanced,1/8,Advanced,1/8
5873,24b1n251,2b512b512b5,Track 1,['Distortion Guitar'],Intermediate,4/8,0.11,0.05,0.57,0.13,Intermediate,4/8,0.54,0.37,Intermediate,4/8,Beginner,4/8,Intermediate,3/8
5874,82398v1283vu12803v12,v41309uv09u,Track 1,['Distortion Guitar'],Intermediate,4/8,0.37,0.81,0.78,0.83,Intermediate,4/8,0.1,0.29,Advanced,4/8,Beginner,2/8,Intermediate,3/8
5875,Guitar Riff Ideas,Drop A# Riff Ideas,Distortion Guitar,[],Intermediate,5/8,0.98,0.69,0.63,0.78,Intermediate,5/8,1.0,0.52,Advanced,7/8,Beginner,6/8,Intermediate,2/8
5876,Маврин,Поединок,Mavrin,['Distortion Guitar'],Intermediate,3/8,0.73,0.84,0.4,0.82,Intermediate,3/8,0.92,0.26,Intermediate,6/8,Beginner,1/8,Beginner,8/8
5877,Eskimo Callboy,Pump it - VERSION 2,Keyboard 3,['Lead 2 (sawtooth)'],,,0.82,0.73,0.92,0.42,,,0.83,0.78,Advanced,4/8,Beginner,1/8,Advanced,2/8
5878,For All I Want,Recuerdos de una Noche,Guitarra II,['Overdriven Guitar'],Beginner,2/8,0.86,0.96,0.51,0.16,Beginner,2/8,0.4,0.61,Intermediate,6/8,Advanced,7/8,Advanced,4/8
5879,Mud Creek,Tear Me Down,Distortion Guitar 1,[],Intermediate,3/8,0.26,0.08,0.73,0.68,Intermediate,3/8,0.26,0.91,Intermediate,7/8,Advanced,5/8,Intermediate,6/8
5880,Wage War,Death Roll,Distortion Guitar,[],Intermediate,4/8,0.33,0.78,0.87,0.4,Intermediate,4/8,0.13,0.77,Beginner,7/8,Intermediate,5/8,Beginner,6/8
5881,Breaking Benjamin,Feed the Wolf,Rhythm Guitar,['Electric Guitar (clean)'],Intermediate,3/8,0.02,0.5,0.64,0.61,Intermediate,3/8,0.68,0.08,Beginner,4/8,Beginner,4/8,Intermediate,1/8
5882,Northlane,Impulse,Electric Guitar (clean),[],Intermediate,3/8,0.96,0.15,0.85,0.4,Intermediate,3/8,0.13,0.67,Advanced,8/8,Beginner,1/8,Beginner,5/8
5883,The Gentle Men,I Am Truth,Left Guitar,['Distortion Guitar'],Intermediate,3/8,0.81,0.3,0.7,0.35,Intermediate,3/8,0.09,0.52,Intermediate,5/8,Intermediate,2/8,Intermediate,3/8
5884,120db,Коктейль Двух Судеб,GTR2,['Distortion Guitar'],Intermediate,3/8,0.82,0.72,0.26,0.25,Intermediate,3/8,1.0,0.18,Intermediate,4/8,Beginner,7/8,Intermediate,3/8
5885,120db,Пломбир,Track 3,['Overdriven Guitar'],Intermediate,3/8,0.32,0.63,0.59,0.42,Intermediate,3/8,0.18,0.98,Beginner,3/8,Intermediate,2/8,Intermediate,7/8
5886,Bkmz,stonik,Synthesizer,['Pad 4 (choir)'],,,0.25,0.05,0.26,0.15,,,0.6,0.66,Beginner,2/8,Intermediate,5/8,Advanced,2/8
5887,"Tom Morello, Bring Me The Horizon",Let's Get The Party Started,Electric Guitar,['Distortion Guitar'],Intermediate,3/8,0.85,0.55,0.07,0.41,Intermediate,3/8,0.02,0.66,Beginner,7/8,Intermediate,8/8,Advanced,8/8
5888,Eskimo Callboy,Pump It,Drums 2,['Reverse Cymbal'],,,0.28,0.16,0.84,0.66,,,0.89,0.1,Advanced,4/8,Advanced,7/8,Intermediate,7/8
5889,Fng,Embryo Cytoplasmic Fragmentation,Distortion Guitar,[],Intermediate,3/8,0.43,0.52,0.9,0.61,Intermediate,3/8,0.45,0.87,Advanced,7/8,Beginner,2/8,Intermediate,1/8
5890,From Ashes To New,Panic,Distortion Guitar,[],Intermediate,3/8,0.95,0.71,0.91,0.76,Intermediate,3/8,0.6,0.22,Beginner,5/8,Beginner,7/8,Intermediate,1/8
5891,Sangheilis,Le fendoir3,Math,['Distortion Guitar'],Intermediate,3/8,0.61,0.55,0.67,0.21,Intermediate,3/8,0.06,0.86,Beginner,3/8,Intermediate,2/8,Beginner,8/8
5892,Crystal Lake,Into the Great Beyond,Clean Rhythm,['Acoustic Guitar (steel)'],Intermediate,3/8,0.98,0.91,0.05,0.33,Intermediate,3/8,0.04,0.86,Intermediate,8/8,Intermediate,1/8,Advanced,3/8
5893,Sangheilis,Le fendoir2,Math,['Distortion Guitar'],Intermediate,3/8,0.01,0.31,0.81,0.92,Intermediate,3/8,0.23,0.15,Intermediate,3/8,Advanced,6/8,Advanced,7/8
5894,We Hunt Buffalo,Heavy Low,Overdriven Guitar 2,[],Intermediate,3/8,0.36,0.93,0.17,0.86,Intermediate,3/8,0.5,0.08,Beginner,5/8,Advanced,1/8,Intermediate,4/8
5895,Sangheilis,Fend,Math,['Distortion Guitar'],Intermediate,3/8,0.07,0.5,0.63,0.09,Intermediate,3/8,0.56,0.53,Advanced,1/8,Beginner,1/8,Intermediate,7/8
5896,Sangheilis,The death lord,Guit 1,['Distortion Guitar 2'],Intermediate,3/8,0.18,0.74,0.65,0.09,Intermediate,3/8,0.85,0.13,Advanced,4/8,Intermediate,7/8,Beginner,3/8
5897,Sangheilis,Wololo,Piste 4,['Guitar harmonics 3'],Intermediate,4/8,0.02,0.05,0.63,0.83,Intermediate,4/8,0.45,0.45,Intermediate,4/8,Beginner,3/8,Advanced,2/8
5898,Tbt,Time,Lead,['Distortion Guitar'],Intermediate,3/8,0.5,0.61,0.03,0.04,Intermediate,3/8,0.25,0.89,Beginner,1/8,Intermediate,4/8,Advanced,8/8
5899,Gazette,ROLLIN',URUHA Crunch,['Overdriven Guitar'],Intermediate,3/8,0.89,0.89,0.27,0.53,Intermediate,3/8,0.42,0.79,Intermediate,6/8,Beginner,8/8,Intermediate,4/8
5900,Efe Karatoprak,Grindcore Song #1,Distortion Guitar,[],Intermediate,3/8,0.17,0.46,0.79,0.09,Intermediate,3/8,0.64,0.82,Intermediate,6/8,Advanced,2/8,Beginner,4/8
5901,Anakinkindadumb,my goodbyes,Track 1,['Distortion Guitar 1'],Intermediate,3/8,0.76,0.28,0.62,0.09,Intermediate,3/8,0.67,0.84,Beginner,4/8,Beginner,4/8,Intermediate,8/8
5902,Destruction Of The Healer,Crocodile Tears,Distortion Guitar 1,[],Intermediate,3/8,0.04,0.27,0.06,0.64,Intermediate,3/8,0.68,0.57,Advanced,8/8,Intermediate,6/8,Advanced,2/8
5903,Metallica,FULL METALLICA MEDLEY,Drop A# Guitar,['Distortion Guitar'],Intermediate,4/8,0.03,0.58,0.76,0.06,Intermediate,4/8,0.39,0.52,Advanced,3/8,Beginner,6/8,Intermediate,5/8
5904,Parkway Drive,Set To Destroy (1),Jeff Ling,['Acoustic Guitar (steel)'],Intermediate,4/8,0.1,0.19,0.29,0.97,Intermediate,4/8,0.16,0.11,Intermediate,2/8,Intermediate,3/8,Intermediate,4/8
5905,Kira,retardedidea,Track 1,['Distortion Guitar'],Advanced,8/8,0.17,0.94,0.74,0.17,Advanced,8/8,0.31,0.17,Intermediate,4/8,Advanced,7/8,Intermediate,7/8
5906,Tsubaki,Flandre Will Be None,Lead,['Distortion Guitar 1'],Intermediate,4/8,0.38,0.97,0.42,0.11,Intermediate,4/8,0.79,0.04,Advanced,4/8,Intermediate,8/8,Advanced,1/8
5907,We Came As Romans,wasted age,Rhythm Guitar,['Overdriven Guitar 2'],Intermediate,3/8,0.88,0.59,0.69,0.61,Intermediate,3/8,0.04,0.23,Advanced,5/8,Advanced,8/8,Beginner,2/8
5908,Like Moths To Flames,The Anatomy Of Evil,Intro,['Distortion Guitar'],Intermediate,4/8,0.0,0.62,0.1,0.77,Intermediate,4/8,0.41,0.69,Beginner,7/8,Intermediate,2/8,Intermediate,2/8
5909,Bac,gbac,Rhythm 2,['Distortion Guitar'],Intermediate,3/8,0.56,0.81,0.36,0.57,Intermediate,3/8,0.19,0.37,Intermediate,2/8,Beginner,2/8,Intermediate,5/8
5910,Gliese,Origen,Juan Clean,['Electric Guitar (clean)'],Intermediate,3/8,0.27,0.08,0.51,0.82,Intermediate,3/8,0.74,0.93,Beginner,2/8,Intermediate,1/8,Beginner,6/8
5911,Beartooth,Burnout,LEAD,['Distortion Guitar'],Beginner,2/8,0.72,0.84,0.79,0.76,Beginner,2/8,0.61,0.19,Intermediate,2/8,Beginner,3/8,Advanced,1/8
5912,Shadow Of Intent,The Heretic Prevails (2nd Version),Chris Wiseman,['Distortion Guitar'],Intermediate,4/8,0.13,0.23,0.66,0.67,Intermediate,4/8,0.78,0.29,Advanced,8/8,Beginner,8/8,Beginner,6/8
5913,Hands Down,Hardships,Track 4,['Distortion Guitar'],Intermediate,4/8,0.86,0.6,0.79,0.15,Intermediate,4/8,0.21,0.89,Advanced,7/8,Advanced,6/8,Advanced,6/8
5914,Eonia,Paths,Right,['Distortion Guitar'],Intermediate,3/8,0.83,0.1,0.77,0.73,Intermediate,3/8,0.76,0.94,Beginner,6/8,Advanced,3/8,Beginner,6/8
5915,August Burns Red,Three Fountains,Guitar 1,['Electric Guitar (clean)'],Intermediate,3/8,0.34,0.03,0.18,0.5,Intermediate,3/8,0.86,0.54,Intermediate,7/8,Advanced,2/8,Beginner,7/8
5916,August Burns Red,Ties That Bind,Guitar 4,['Electric Guitar (clean)'],Intermediate,3/8,0.73,0.6,0.5,0.06,Intermediate,3/8,0.83,0.17,Advanced,3/8,Intermediate,3/8,Beginner,4/8
5917,August Burns Red,Dismembered Memory,Guitar 4,['Electric Guitar (clean)'],Beginner,2/8,0.23,0.19,0.57,0.2,Beginner,2/8,0.55,0.65,Intermediate,2/8,Advanced,8/8,Intermediate,1/8
5918,August Burns Red,Bones,Guitar 3,['Electric Guitar (clean)'],Intermediate,3/8,0.62,0.78,0.07,0.48,Intermediate,3/8,0.56,0.74,Beginner,2/8,Intermediate,7/8,Advanced,2/8
5919,August Burns Red,Empty Heaven,Guitar 2,['Electric Guitar (clean)'],Intermediate,4/8,0.72,0.41,0.39,0.47,Intermediate,4/8,0.69,0.95,Advanced,8/8,Advanced,5/8,Beginner,8/8
5920,Pendulum,self vs self v3,Raita 1,['Distortion Guitar'],Intermediate,3/8,0.34,0.44,0.24,0.83,Intermediate,3/8,0.81,0.84,Beginner,5/8,Intermediate,8/8,Intermediate,1/8
5921,Eonia,Loss,Lead Guitar,['Distortion Guitar'],Intermediate,4/8,0.05,0.37,0.48,0.01,Intermediate,4/8,0.63,0.89,Advanced,1/8,Advanced,7/8,Advanced,4/8
5922,Dezert,Sister,Distortion Guitar,[],Intermediate,3/8,0.49,0.66,0.82,0.81,Intermediate,3/8,0.59,0.55,Advanced,7/8,Beginner,8/8,Intermediate,5/8
5923,Eonia,Intro,Clean,['Distortion Guitar'],Intermediate,3/8,0.1,0.11,0.73,0.95,Intermediate,3/8,0.43,0.67,Advanced,8/8,Advanced,8/8,Beginner,3/8
5924,Eonia,In Memoriam,Distortion Guitar 4,[],Intermediate,3/8,0.37,0.73,0.64,1.0,Intermediate,3/8,0.38,0.62,Advanced,4/8,Intermediate,5/8,Beginner,2/8
5925,Eonia,Recollection,Harmony/Lofi,['Distortion Guitar'],Advanced,7/8,1.0,0.77,0.03,0.71,Advanced,7/8,0.47,0.73,Advanced,7/8,Beginner,5/8,Beginner,2/8
5926,The Raven Age,No mans land solo,Harmony,['Overdriven Guitar'],Intermediate,4/8,0.32,0.89,0.75,0.34,Intermediate,4/8,0.84,0.19,Beginner,1/8,Intermediate,4/8,Beginner,7/8
5927,Justice For The Damned,"No Brother, No Friend",Pitch Shift Gtr,['Distortion Guitar'],Intermediate,3/8,0.4,0.03,0.35,0.37,Intermediate,3/8,0.87,0.6,Beginner,2/8,Beginner,3/8,Intermediate,2/8
5928,Eonia,Departure,Harmony,['Distortion Guitar'],Intermediate,4/8,0.59,0.85,0.86,0.53,Intermediate,4/8,0.51,0.28,Intermediate,4/8,Intermediate,6/8,Beginner,4/8
5929,Cbp,2077,Distortion Guitar,[],Advanced,7/8,0.48,0.62,0.76,0.78,Advanced,7/8,0.87,0.85,Advanced,1/8,Beginner,5/8,Beginner,7/8
5930,Andrushka,че происходит,huy,['Distortion Guitar'],Intermediate,3/8,0.28,0.1,0.08,0.35,Intermediate,3/8,0.79,0.68,Advanced,3/8,Intermediate,5/8,Advanced,1/8
5931,Andrushka,уже почти грайндуха,Distortion Guitar 1,[],Intermediate,3/8,0.36,0.07,0.24,0.42,Intermediate,3/8,0.82,0.45,Advanced,5/8,Beginner,8/8,Beginner,4/8
5932,Shinigiwa Satellite,Kousei Salvation,RHYTHM,['Distortion Guitar'],Intermediate,3/8,0.52,0.64,0.88,0.15,Intermediate,3/8,0.27,0.28,Intermediate,5/8,Beginner,4/8,Advanced,6/8
5933,Powerwolf,Sermon of Swords,Rhythm Guitar,['Distortion Guitar'],Beginner,2/8,0.15,0.62,0.56,0.26,Beginner,2/8,0.17,0.33,Beginner,3/8,Beginner,8/8,Advanced,1/8
5934,Paraphrase,Maladaptive,Distortion Guitar 2,[],Intermediate,3/8,0.36,0.25,0.02,0.33,Intermediate,3/8,0.3,0.2,Beginner,8/8,Intermediate,6/8,Advanced,8/8
5935,Destruction Of The Healer,Sacrifice,Clean Left,['Electric Guitar (clean)'],Intermediate,3/8,0.17,0.27,0.65,0.23,Intermediate,3/8,0.49,0.92,Intermediate,2/8,Advanced,4/8,Advanced,6/8
5936,Bring Me The Horizon,Evolution of BMTH Breakdowns,Drop A# Guitar,['Distortion Guitar'],Intermediate,4/8,0.27,0.15,0.04,0.8,Intermediate,4/8,0.84,0.83,Beginner,4/8,Advanced,1/8,Beginner,2/8
5937,Muth,иινу a#,mike hunt,['Distortion Guitar'],Intermediate,4/8,0.68,0.44,0.34,0.99,Intermediate,4/8,0.37,0.66,Beginner,7/8,Beginner,8/8,Beginner,1/8
5938,Afsa Fasf,as fasf asfas,Track 1,['Distortion Guitar'],Intermediate,3/8,0.16,0.09,0.15,0.99,Intermediate,3/8,0.94,0.71,Advanced,6/8,Intermediate,7/8,Advanced,7/8
5939,Bogg,Wicked Riffages 2 - Skyline,Distortion 2,['Distortion Guitar'],Intermediate,3/8,0.32,0.65,0.42,0.02,Intermediate,3/8,0.18,0.21,Advanced,4/8,Intermediate,3/8,Beginner,4/8
5940,sergej_mavrin,poedinok,Ad1,['SynthStrings 1'],,,0.34,0.66,0.18,0.72,,,0.14,0.28,Beginner,5/8,Beginner,8/8,Beginner,8/8
5941,Muth,a living sharp dead,rhythm,['Distortion Guitar 2'],Intermediate,3/8,0.43,0.09,0.41,0.77,Intermediate,3/8,0.22,0.64,Beginner,3/8,Intermediate,6/8,Advanced,3/8
5942,Utsu-P,Painting,Rhythm,['Distortion Guitar'],Intermediate,3/8,0.7,0.97,0.98,0.71,Intermediate,3/8,0.57,0.36,Intermediate,2/8,Intermediate,1/8,Advanced,3/8
5943,Grimwind,Тзинч,Guitar Rhythm Right,['Overdriven Guitar'],Intermediate,3/8,0.52,0.55,0.09,0.14,Intermediate,3/8,0.37,0.38,Advanced,8/8,Advanced,5/8,Advanced,7/8
5944,Judson,Escape,Guitar 2,['Distortion Guitar 2'],Beginner,2/8,0.0,0.9,0.17,0.72,Beginner,2/8,0.9,0.67,Intermediate,7/8,Intermediate,4/8,Intermediate,2/8
5945,August Burns Red,1/16/2011 (2021),Delay Effect,['Electric Guitar (clean)'],Beginner,2/8,0.95,0.49,0.9,0.59,Beginner,2/8,0.08,0.7,Advanced,7/8,Intermediate,5/8,Intermediate,7/8
5946,Richaadeb,Bad Apple Ver. 2,E.Guitar I,['Overdriven Guitar 2'],Intermediate,3/8,0.14,0.16,0.34,0.48,Intermediate,3/8,0.15,0.09,Intermediate,6/8,Intermediate,2/8,Beginner,8/8
5947,Parkway Drive,Wild Eyes Standard Bass,Rhythm Guitar,"['Luke Kilpatrick', 'Distortion Guitar']",Intermediate,4/8,0.04,0.31,0.38,0.81,Intermediate,4/8,0.56,0.96,Beginner,8/8,Intermediate,2/8,Advanced,8/8
5948,Hoodini,birth of de gruel,Jim Root,['Distortion Guitar'],Intermediate,3/8,0.26,0.97,0.94,0.08,Intermediate,3/8,0.46,0.36,Advanced,2/8,Beginner,3/8,Advanced,8/8
5949,Parkway Drive,The Greatest Fear,Lead Guitar,['Distortion Guitar'],Beginner,2/8,0.85,0.84,0.49,0.2,Beginner,2/8,0.53,0.43,Advanced,8/8,Beginner,5/8,Intermediate,6/8
5950,Petr Válek,TEST,david,['Distortion Guitar'],Beginner,2/8,0.28,0.58,0.31,0.22,Beginner,2/8,0.51,0.75,Advanced,3/8,Advanced,5/8,Advanced,2/8
5951,Galendwagen,ноль пять шесть,Distortion Guitar 1,[],Intermediate,3/8,0.69,0.88,0.75,0.13,Intermediate,3/8,0.13,0.06,Beginner,4/8,Intermediate,2/8,Advanced,7/8
5952,Untitled,wt9011_demotest,Harp (Staff 1),['Orchestral Harp'],,,0.69,0.4,0.74,0.26,,,0.52,0.85,Advanced,8/8,Beginner,4/8,Beginner,6/8
5953,Noddy,12,Distortion Guitar 1,[],Beginner,2/8,0.85,0.0,0.4,0.29,Beginner,2/8,0.93,0.83,Advanced,1/8,Intermediate,2/8,Advanced,7/8
5954,Untitled,wt1642_introdemo,Distortion Guitar,[],Intermediate,4/8,0.15,0.79,0.52,0.02,Intermediate,4/8,0.39,0.01,Intermediate,1/8,Advanced,6/8,Beginner,1/8
5955,Slipknot,The Dying Song (Time to Sing)  [Guitars Only],Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8,0.63,0.54,0.14,0.4,Intermediate,3/8,0.05,0.23,Beginner,1/8,Beginner,3/8,Intermediate,3/8
5956,Lithium,Screaming Me,Tom,['Electric Guitar (clean)'],Beginner,2/8,0.8,0.5,0.54,0.87,Beginner,2/8,0.05,0.29,Intermediate,7/8,Intermediate,1/8,Advanced,7/8
5957,Untitled,dlu_wt_riffs_TEST,Distortion Guitar,[],Beginner,2/8,0.47,0.51,0.74,0.69,Beginner,2/8,0.42,0.25,Intermediate,2/8,Advanced,8/8,Advanced,6/8
5958,Mayu Maeshima,No Man's Dawn,Distortion Guitar,[],Beginner,2/8,0.07,0.04,0.05,0.7,Beginner,2/8,0.56,0.04,Beginner,3/8,Beginner,7/8,Intermediate,3/8
5959,I Prevail,Pull The Plug (Chorus),Rhythm Guitar,['Distortion Guitar'],Beginner,2/8,0.86,0.73,0.49,0.14,Beginner,2/8,0.41,0.32,Intermediate,2/8,Intermediate,3/8,Advanced,5/8
5960,Yehovan,Hc2,Electric Guitar 2,['Distortion Guitar'],Beginner,2/8,0.02,0.83,0.74,0.88,Beginner,2/8,0.22,0.03,Advanced,6/8,Intermediate,8/8,Beginner,3/8
5961,Skillet,Dominion,Lead Guitar,['Distortion Guitar'],Intermediate,3/8,0.54,0.35,0.81,0.38,Intermediate,3/8,0.76,0.47,Beginner,2/8,Intermediate,1/8,Intermediate,7/8
5962,Orbit Culture,Mirrorslave,Left,['Distortion Guitar'],Beginner,2/8,0.29,0.42,0.89,0.03,Beginner,2/8,0.31,0.74,Beginner,7/8,Intermediate,6/8,Advanced,4/8
5963,Orbit Culture,Open Eye,Rhythm Right,['Distortion Guitar'],Intermediate,4/8,0.6,0.18,0.68,0.57,Intermediate,4/8,0.2,0.5,Advanced,2/8,Intermediate,5/8,Beginner,8/8
5964,Untitled,WT_139_Test,Distortion Guitar,[],Beginner,2/8,0.28,0.53,0.57,0.76,Beginner,2/8,0.89,0.4,Intermediate,7/8,Beginner,1/8,Beginner,2/8
5965,Паук В Цилиндре,120бпм,Miha,['Distortion Guitar'],Beginner,2/8,0.61,0.76,0.45,0.06,Beginner,2/8,0.99,0.15,Intermediate,3/8,Beginner,8/8,Advanced,2/8
5966,My Perfect Sin,Na kray zemli,Гитара 3,['Distortion Guitar'],Beginner,2/8,0.32,0.18,0.53,0.63,Beginner,2/8,0.97,0.19,Advanced,1/8,Advanced,2/8,Intermediate,7/8
5967,Vlad I Vadim,Roots,Vestnik smerti,['Distortion Guitar'],Intermediate,3/8,0.72,0.69,0.05,0.04,Intermediate,3/8,0.25,0.03,Beginner,8/8,Intermediate,1/8,Intermediate,1/8
5968,Slipknot,The Dying Song (Time to Sing),Mick Thomson #7,['Distortion Guitar'],Intermediate,3/8,0.5,0.57,0.28,0.92,Intermediate,3/8,0.04,0.89,Intermediate,8/8,Beginner,2/8,Beginner,6/8
5969,Fractal Eater,CORPse,Distortion Guitar,[],Intermediate,3/8,0.4,0.79,0.51,0.63,Intermediate,3/8,0.92,0.74,Beginner,2/8,Intermediate,5/8,Beginner,8/8
5970,Bleed From Within,The End Of All We Know (Dropped B),Rhythm Guitar,['Distortion Guitar'],Intermediate,5/8,0.67,1.0,0.38,0.5,Intermediate,5/8,0.0,0.85,Intermediate,4/8,Intermediate,8/8,Intermediate,3/8
5971,Frozen Eddie,Where Do We Stand?,Guitar (Tom),['Distortion Guitar'],Intermediate,3/8,0.35,0.99,0.2,0.94,Intermediate,3/8,0.79,0.54,Intermediate,7/8,Advanced,5/8,Intermediate,8/8
5972,Isaac Restrepo,Redeem Thy SIn,Guitar part 2,['Distortion Guitar'],Intermediate,4/8,0.93,0.16,0.04,0.31,Intermediate,4/8,0.62,0.44,Intermediate,2/8,Beginner,8/8,Beginner,8/8
5973,Machine Head,UnhallØwed,Distortion Guitar 2,[],Advanced,6/8,0.26,0.58,0.07,0.74,Advanced,6/8,0.38,0.28,Beginner,8/8,Intermediate,7/8,Intermediate,2/8
5974,Cameron Riggenbach,Exercises,Electric Guitar (Distortion),['Distortion Guitar'],Intermediate,3/8,0.35,0.46,0.8,0.89,Intermediate,3/8,0.1,0.21,Beginner,2/8,Intermediate,7/8,Advanced,4/8
